Código Município;Rs_max2014/11/01;Rs_min2014/11/01;Rs_mean2014/11/01;Rs_sd2014/11/01;Rs_max2014/12/01;Rs_min2014/12/01;Rs_mean2014/12/01;Rs_sd2014/12/01;Rs_max2015/01/01;Rs_min2015/01/01;Rs_mean2015/01/01;Rs_sd2015/01/01;Rs_max2015/11/01;Rs_min2015/11/01;Rs_mean2015/11/01;Rs_sd2015/11/01;Rs_max2015/12/01;Rs_min2015/12/01;Rs_mean2015/12/01;Rs_sd2015/12/01;Rs_max2016/01/01;Rs_min2016/01/01;Rs_mean2016/01/01;Rs_sd2016/01/01;Rs_max2016/11/01;Rs_min2016/11/01;Rs_mean2016/11/01;Rs_sd2016/11/01;Rs_max2016/12/01;Rs_min2016/12/01;Rs_mean2016/12/01;Rs_sd2016/12/01;Rs_max2017/01/01;Rs_min2017/01/01;Rs_mean2017/01/01;Rs_sd2017/01/01;Rs_max2017/11/01;Rs_min2017/11/01;Rs_mean2017/11/01;Rs_sd2017/11/01;Rs_max2017/12/01;Rs_min2017/12/01;Rs_mean2017/12/01;Rs_sd2017/12/01;Rs_max2018/01/01;Rs_min2018/01/01;Rs_mean2018/01/01;Rs_sd2018/01/01;Rs_max2018/11/01;Rs_min2018/11/01;Rs_mean2018/11/01;Rs_sd2018/11/01;Rs_max2018/12/01;Rs_min2018/12/01;Rs_mean2018/12/01;Rs_sd2018/12/01;Rs_max2019/01/01;Rs_min2019/01/01;Rs_mean2019/01/01;Rs_sd2019/01/01;Rs_max2019/11/01;Rs_min2019/11/01;Rs_mean2019/11/01;Rs_sd2019/11/01;Rs_max2019/12/01;Rs_min2019/12/01;Rs_mean2019/12/01;Rs_sd2019/12/01;Rs_max2020/01/01;Rs_min2020/01/01;Rs_mean2020/01/01;Rs_sd2020/01/01;Rs_max2020/11/01;Rs_min2020/11/01;Rs_mean2020/11/01;Rs_sd2020/11/01;Rs_max2020/12/01;Rs_min2020/12/01;Rs_mean2020/12/01;Rs_sd2020/12/01;Rs_max2021/01/01;Rs_min2021/01/01;Rs_mean2021/01/01;Rs_sd2021/01/01;
3170206.0;630.9844;531.3281;583.2034;27.169025;638.625;543.02344;590.7057;25.553108;794.5469;696.6094;746.53723;26.510344;681.9219;576.7422;630.8355;28.297636;682.8281;576.1094;627.8366;29.970081;588.8828;489.26562;539.76013;26.253258;622.5156;529.53125;575.0736;25.668823;714.125;585.5547;642.62213;36.2163;636.4219;532.8711;584.92163;28.907309;640.90234;529.28516;588.1151;31.0561;640.6953;506.5078;575.09314;39.302902;702.39844;602.8594;647.09393;29.019335;577.2656;493.11328;537.4065;22.491966;747.4219;646.5156;700.50916;27.556244;750.65625;680.0781;716.3579;19.046686;667.8828;566.2656;617.2331;27.65926;672.625;580.21094;625.0681;24.865711;655.125;537.2656;596.8434;30.137402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5000609.0;637.40625;566.3242;600.16327;19.499931;690.2422;626.72266;656.58984;16.981075;702.7031;635.7578;666.3379;17.847425;541.4375;479.92188;507.99652;16.782843;598.6797;520.64453;562.8029;18.558638;666.97656;612.6953;638.69025;12.773185;689.9219;622.65625;656.4275;17.255272;662.7539;603.6406;634.1829;15.509105;766.5;690.2656;730.9926;19.405602;650.16406;579.64844;612.4975;17.063498;637.4219;568.59766;601.5219;17.800621;624.0547;551.8965;585.33;18.792116;655.8926;578.0654;619.0165;20.593786;786.0078;686.1406;735.54175;25.895132;781.6094;673.1328;728.87683;27.717518;687.35547;601.19336;647.0144;23.703123;699.58594;595.2324;651.7204;28.434624;703.6875;619.0586;666.5678;22.629679;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002209.0;616.4883;565.4219;591.3285;12.054241;677.3242;614.66406;648.85443;15.286054;716.27344;661.5078;688.8592;13.865287;620.8906;549.51953;582.3033;18.26784;663.21875;591.4492;627.5299;19.696932;590.84375;529.72656;564.8448;15.032655;660.2793;596.5625;630.2033;17.656317;681.3828;609.6172;646.9222;18.205055;740.0;674.3828;709.02136;17.473747;655.50586;595.0664;625.6299;15.577578;622.48047;552.44727;588.54193;16.943573;638.8281;577.6172;609.4741;15.762794;657.47656;553.46875;608.1274;26.185942;787.08594;650.22656;717.26526;31.850283;750.53125;641.8281;687.09515;25.234472;683.1875;598.7031;643.6488;23.507101;681.28125;612.0625;650.98425;16.372683;709.3047;658.18945;685.63196;11.771135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5006606.0;624.3047;551.39844;587.01514;19.628876;692.33203;607.1172;648.674;23.11396;707.6172;624.1133;664.4511;22.424057;579.6758;491.57422;535.4871;23.819887;626.7637;555.80273;592.6327;18.987026;627.53125;547.10156;591.899;22.372545;673.3203;597.6758;638.8137;19.528273;673.7656;586.65625;630.72534;25.062914;767.58594;682.83594;725.8543;23.097652;647.8789;576.7383;611.0869;19.763851;648.78906;555.78125;604.58057;26.729883;629.2461;538.2656;585.5715;23.723032;682.0703;546.2793;601.83704;36.716343;805.83594;691.6172;737.6617;31.038162;797.125;671.6172;723.8776;31.765715;690.45703;600.4707;641.7915;24.383749;707.2656;596.7715;647.0729;30.800524;713.91406;628.3203;668.7374;23.65771;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002704.0;647.4883;536.9375;585.1106;26.359196;706.01953;562.2363;631.71814;36.113754;744.5703;621.0625;679.16187;30.250584;641.625;496.08203;578.12744;37.59692;672.8203;530.33203;610.2276;36.63261;615.0156;493.6211;541.11664;31.11856;693.45703;570.6992;617.1794;29.448694;669.8906;550.9844;605.7101;29.783161;727.5;605.5781;670.61676;31.174349;685.47656;576.6387;631.19135;28.069393;658.9453;541.9297;592.0023;29.574688;662.0625;537.4336;596.03064;31.43318;656.2656;470.77344;548.81415;49.030212;789.8125;548.25;656.05756;65.16455;780.9219;585.875;681.4619;50.218796;691.1406;560.77734;613.7387;32.440243;705.10156;552.97656;625.4223;38.114788;725.03125;612.53906;668.1796;28.428938;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002951.0;603.72656;525.6289;565.466;19.592905;652.6875;562.1328;605.67114;21.337906;790.15625;719.1953;756.8809;16.761784;633.35156;538.9336;585.6317;23.574558;668.53125;591.7031;629.6283;19.738258;615.85156;535.27344;572.1236;22.018139;658.2578;574.4922;613.92114;20.193401;695.8281;593.91406;643.7943;24.243118;609.2344;523.1094;570.88654;24.04674;644.09375;575.7344;609.48773;17.936636;666.5156;585.3594;619.4029;21.351534;669.71094;589.4219;627.50696;22.382435;597.0078;520.71094;556.54156;19.872782;753.4375;672.3828;712.02924;22.539364;757.96875;676.60156;718.80927;22.436968;644.9844;543.9297;594.2556;26.697495;712.5156;618.71875;671.582;22.452734;695.71094;617.2344;658.40564;17.811256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005400.0;622.4258;550.77344;586.8058;18.732067;693.45703;594.3457;645.7068;25.047081;728.4297;624.9883;678.3829;26.997301;619.08594;505.54297;562.81903;30.580833;655.02344;555.0762;607.18475;25.541056;613.85156;508.97656;560.04156;28.21176;667.5781;581.0137;626.4999;22.650175;672.6953;578.49023;624.45306;24.860184;761.40625;666.65625;715.68036;23.73987;656.3906;582.209;620.2584;20.178528;637.5156;542.3125;588.722;24.233665;650.9531;543.96875;596.00195;28.66657;654.0625;519.4707;583.71765;35.471893;790.03906;622.6328;719.7415;39.791557;780.4531;635.15625;718.195;39.510105;698.8047;583.6172;641.8788;32.14997;705.22656;580.1289;644.37897;34.044205;733.60156;633.35547;685.9214;27.673368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005707.0;657.16406;583.7578;620.4484;18.297155;709.125;628.35156;669.8305;19.844639;724.15625;645.3203;690.3488;18.807125;544.3086;470.1914;509.08194;19.720041;599.41797;512.8496;562.85065;22.984453;690.5625;600.28125;651.23224;27.81193;714.5547;639.8203;675.0896;20.177711;674.375;591.4883;630.037;21.601635;759.21094;677.9219;716.7924;20.409416;664.8125;562.73047;609.79913;28.580551;639.4297;562.77734;603.15314;18.280909;631.5625;540.7383;590.9624;23.732054;673.55664;592.58203;632.6697;19.263153;790.7422;715.77344;751.8736;20.02032;778.8125;687.90625;736.3366;22.5438;688.85156;588.7656;624.91473;24.298685;674.2383;555.7656;597.4476;30.539642;691.71875;579.21875;621.024;28.649452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5007695.0;597.1719;527.09375;561.98804;19.202375;610.625;519.0664;562.19977;23.447012;734.09375;650.1172;687.898;22.000921;623.2031;541.125;582.8646;22.439465;701.41406;621.2656;663.7734;21.717598;596.34375;512.01953;556.9705;23.301765;659.5703;582.53516;621.26086;21.706842;652.53125;563.5703;606.7883;24.46673;671.6953;581.03125;625.0673;25.018541;680.15625;595.03516;640.80084;24.339725;668.25;580.0078;625.50323;24.47518;662.02344;584.3281;622.5739;21.589947;533.89844;438.4922;483.5952;26.030264;695.21094;566.03125;626.86725;34.54674;728.1172;618.41406;676.4868;30.248034;612.35156;533.6172;573.1692;20.696846;639.08594;566.5469;601.12286;20.61025;677.1875;595.64844;635.98175;22.476349;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5102637.0;602.72656;514.9883;558.627;20.274017;586.1172;476.9414;527.1883;24.508425;675.2656;582.0664;634.3776;21.209667;599.5078;485.29688;538.5093;28.092165;706.2656;524.03906;605.67523;42.58039;573.66406;438.0039;505.7037;29.193562;585.6094;483.90234;533.6839;23.451046;571.375;457.59375;511.84094;27.586678;640.3672;528.9375;584.4516;26.273352;607.2031;477.7422;551.74536;30.888329;587.0078;484.39062;542.6516;23.131788;606.33594;489.88672;560.84766;22.60703;571.97656;459.03906;514.5499;26.031013;629.8125;520.3125;576.104;26.06286;623.09375;529.34375;577.9536;23.746254;635.5469;521.3828;576.9796;27.400433;655.4453;531.41406;595.3117;30.658993;696.60156;586.77344;632.5148;27.299812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
