Código Município;pr_mean2014/11/01;pr_sd2014/11/01;pr_max2014/11/01;pr_min2014/11/01;pr_sum2014/11/01;pr_mean2014/12/01;pr_sd2014/12/01;pr_max2014/12/01;pr_min2014/12/01;pr_sum2014/12/01;pr_mean2015/01/01;pr_sd2015/01/01;pr_max2015/01/01;pr_min2015/01/01;pr_sum2015/01/01;pr_mean2015/11/01;pr_sd2015/11/01;pr_max2015/11/01;pr_min2015/11/01;pr_sum2015/11/01;pr_mean2015/12/01;pr_sd2015/12/01;pr_max2015/12/01;pr_min2015/12/01;pr_sum2015/12/01;pr_mean2016/01/01;pr_sd2016/01/01;pr_max2016/01/01;pr_min2016/01/01;pr_sum2016/01/01;pr_mean2016/11/01;pr_sd2016/11/01;pr_max2016/11/01;pr_min2016/11/01;pr_sum2016/11/01;pr_mean2016/12/01;pr_sd2016/12/01;pr_max2016/12/01;pr_min2016/12/01;pr_sum2016/12/01;pr_mean2017/01/01;pr_sd2017/01/01;pr_max2017/01/01;pr_min2017/01/01;pr_sum2017/01/01;pr_mean2017/11/01;pr_sd2017/11/01;pr_max2017/11/01;pr_min2017/11/01;pr_sum2017/11/01;pr_mean2017/12/01;pr_sd2017/12/01;pr_max2017/12/01;pr_min2017/12/01;pr_sum2017/12/01;pr_mean2018/01/01;pr_sd2018/01/01;pr_max2018/01/01;pr_min2018/01/01;pr_sum2018/01/01;pr_mean2018/11/01;pr_sd2018/11/01;pr_max2018/11/01;pr_min2018/11/01;pr_sum2018/11/01;pr_mean2018/12/01;pr_sd2018/12/01;pr_max2018/12/01;pr_min2018/12/01;pr_sum2018/12/01;pr_mean2019/01/01;pr_sd2019/01/01;pr_max2019/01/01;pr_min2019/01/01;pr_sum2019/01/01;pr_mean2019/11/01;pr_sd2019/11/01;pr_max2019/11/01;pr_min2019/11/01;pr_sum2019/11/01;pr_mean2019/12/01;pr_sd2019/12/01;pr_max2019/12/01;pr_min2019/12/01;pr_sum2019/12/01;pr_mean2020/01/01;pr_sd2020/01/01;pr_max2020/01/01;pr_min2020/01/01;pr_sum2020/01/01;pr_mean2020/11/01;pr_sd2020/11/01;pr_max2020/11/01;pr_min2020/11/01;pr_sum2020/11/01;pr_mean2020/12/01;pr_sd2020/12/01;pr_max2020/12/01;pr_min2020/12/01;pr_sum2020/12/01;pr_mean2021/01/01;pr_sd2021/01/01;pr_max2021/01/01;pr_min2021/01/01;pr_sum2021/01/01;
3170206.0;293.5707;108.43967;520.0864;83.40723;16482.74;229.46738;114.50809;483.81805;60.20764;13434.592;87.136154;56.666008;220.35217;6.6434326;5201.0576;255.6251;101.1624;502.1187;84.22461;14648.095;194.80435;108.02546;445.26074;27.621338;11261.604;426.6381;152.22055;800.313;173.4707;24659.865;298.49615;126.54466;580.8716;100.21536;17140.63;240.78767;107.59253;500.53366;78.8266;13816.974;232.62352;122.38042;555.1255;68.528564;13980.742;281.38608;137.68895;639.4707;73.83664;16509.18;256.3686;150.87227;644.1367;53.839417;15412.188;265.8796;135.05458;633.84015;73.73535;16367.33;351.9728;106.78215;612.5596;174.9841;20685.777;245.5377;102.640625;458.24844;69.49255;13684.929;93.37913;49.780025;226.78809;21.091187;5306.745;174.4896;101.1112;435.4121;23.046173;9914.151;297.50333;110.77546;544.0648;104.53027;17142.443;403.64114;108.81502;604.7086;205.12827;23107.346;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5000609.0;175.1868;66.25887;320.2362;75.392334;9748.67;189.06708;88.00539;348.9405;53.35077;10229.872;116.93933;77.54973;282.1098;20.022156;6700.5405;365.14444;82.46566;538.77466;227.10805;20376.94;291.70242;101.51929;509.82288;123.30121;16420.463;209.92303;78.36329;387.49902;88.53931;11839.746;106.755714;74.25794;237.67188;12.95166;5948.395;282.61682;105.6447;482.10254;87.5672;15680.463;125.512405;86.578476;307.4397;10.377502;7057.2095;182.28279;75.24793;331.53677;57.23999;10110.248;323.69345;124.38897;587.0993;120.05058;18227.127;273.17764;136.5633;557.89233;89.73332;15564.565;128.98613;68.79458;276.71436;36.729736;7385.5576;113.796135;63.47595;246.26746;22.673569;6391.926;97.95348;55.780933;229.43387;26.066025;5566.3887;143.91257;82.12536;312.49557;34.875885;8182.8525;377.09552;159.04958;677.8161;127.10083;21114.775;186.8506;98.18531;397.8635;43.32852;10545.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002209.0;244.23389;91.236984;429.7259;116.40094;15941.82;143.08102;75.96119;316.42117;44.831207;9575.449;98.94841;46.016804;192.43854;31.57219;6372.2207;154.36734;49.81434;279.9546;66.915665;10117.844;185.37004;61.985565;337.81104;73.60535;12104.658;307.54767;61.58343;435.32703;168.24377;19949.99;80.21938;35.005257;174.25278;28.300049;5286.0693;181.05896;78.41027;385.23755;70.28531;11983.869;101.27338;49.910347;205.68579;20.508163;6685.8467;262.15134;92.86799;455.90005;86.90494;16843.97;257.98114;81.56918;431.27295;123.30649;16727.39;154.44334;66.26851;337.82263;60.938248;10377.531;184.89044;78.59222;350.61572;61.46875;12023.863;138.39711;47.570667;230.81934;57.311584;8858.099;31.228312;20.448183;81.56717;6.5179443;2069.128;123.180786;57.480896;235.93433;44.37436;7939.306;201.2782;81.51623;367.2067;80.670166;13049.051;251.62503;78.15443;439.2766;100.80266;16257.615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5006606.0;264.05927;91.562614;457.1045;121.632996;20036.77;154.33147;90.05081;382.3857;29.554062;12096.695;170.98705;79.73013;321.69882;35.426758;12306.449;277.3786;101.58657;499.75183;112.4028;20807.072;350.05206;106.90306;551.00525;138.94682;25981.682;232.55634;77.97267;397.604;100.54779;17806.223;70.57693;37.59159;158.49976;13.344971;5399.181;262.92664;118.08608;527.1659;51.586;20060.877;140.95003;72.9798;302.091;24.169342;10513.237;179.50087;79.74706;358.02737;35.457153;13531.73;282.60992;112.532814;542.92126;97.241516;21765.51;286.4957;117.21613;531.8291;93.2296;21608.73;192.53615;95.835594;417.40405;41.09375;14511.03;128.43799;66.74338;290.55933;26.437866;9534.441;157.17249;90.895294;365.8061;32.105606;11681.811;136.47217;59.22737;237.01428;27.373703;9991.52;223.99052;110.04312;465.5715;66.2999;17076.334;177.95995;90.218506;375.3956;55.49002;13708.242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002704.0;189.13118;139.24219;508.57608;25.897064;19334.637;193.958;169.13506;622.40625;14.95726;19832.008;185.4675;127.5968;484.05054;22.97998;18576.748;156.33511;130.98145;507.4004;15.312347;16184.803;191.36053;162.0505;571.91406;8.583618;19564.3;272.7851;147.2409;603.3574;62.402344;28176.455;52.39007;52.124374;194.65784;0.0;5532.0483;232.6795;165.28659;616.041;24.873291;23548.57;243.70833;156.62682;648.1631;41.66156;24932.502;232.66228;165.2649;628.3242;19.48938;23930.14;253.13469;153.65562;596.9463;32.19995;25443.656;181.92278;120.27918;480.4453;20.676636;18681.229;189.57776;128.34192;505.35208;21.898438;18901.902;119.2127;88.84019;325.32617;8.167175;11922.023;133.61362;100.36619;388.1328;7.871887;13720.773;130.25896;83.750114;322.8833;27.141785;13346.357;273.7599;123.15135;523.86755;73.71213;27574.957;172.21475;88.10876;349.18066;35.801086;17461.293;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002951.0;197.49954;102.55672;438.2434;42.469147;10206.963;311.51883;153.92296;662.70703;78.845856;16467.49;108.95436;76.63362;298.76593;6.402832;5562.5186;298.1168;165.761;669.7529;50.747925;15215.695;318.18643;183.08305;702.6367;75.892746;16658.51;267.00256;135.22003;553.77734;77.04999;14049.24;165.54713;87.36014;356.63425;35.94629;8501.906;145.5598;93.01973;381.1504;28.264572;7771.268;324.08533;154.86113;648.3467;80.95737;16951.195;286.11823;141.89828;622.459;63.432053;14888.633;287.77634;120.288605;514.57715;71.57687;14619.353;256.20325;137.20056;558.0045;40.326355;13338.866;250.5062;151.79576;614.8291;37.67221;13129.778;104.90807;65.45444;276.44357;15.024338;5413.231;187.50378;86.85914;370.0091;44.54242;9579.819;161.88663;56.906914;286.83545;60.80127;8384.76;197.34483;92.63104;414.96808;66.31909;10651.12;145.23796;76.7428;328.63217;38.133743;7709.1855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005400.0;261.5394;96.25098;488.4871;98.39609;18244.63;184.1616;91.13877;396.75623;52.052063;12903.101;109.73876;60.29709;251.54724;19.037003;7759.799;195.53477;84.40901;377.64737;74.58006;13724.543;256.18506;104.8471;478.32037;93.51962;17629.998;248.7548;90.96255;454.69836;114.052734;17594.1;57.661617;31.394602;140.20331;17.93335;4099.841;217.37119;90.60734;405.175;79.78128;15082.272;163.4501;89.05181;388.00232;32.740845;11498.29;198.23555;107.33136;459.23288;52.617767;13947.242;240.206;104.09988;478.48267;81.24231;16882.809;236.94615;98.290764;459.58496;81.20079;16535.695;165.34982;82.81145;370.69653;56.994568;11677.861;104.00048;60.809174;269.4246;15.180725;7311.3643;157.76445;85.126015;333.03226;12.049988;10614.512;94.35938;60.564533;240.39642;18.430908;6774.1997;187.35078;104.205956;425.32324;52.28058;13337.445;212.68243;101.112175;393.96594;72.932236;14885.986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005707.0;198.51462;82.734085;370.25568;53.738358;8944.075;140.94946;59.520416;258.75922;40.975067;6384.4966;130.24136;91.130264;339.3026;17.120316;5997.2617;369.18326;124.87568;632.19934;149.4961;16885.793;332.73248;146.6844;624.95996;108.51343;15281.157;182.2142;68.3405;339.86133;57.19922;8368.288;66.035965;65.99817;230.02441;3.8142242;3063.1726;164.59552;83.92707;372.28265;49.95874;7652.1895;128.86282;77.14784;309.364;24.769806;5947.017;146.69011;73.16595;307.1682;37.626343;6774.4873;261.98474;107.46593;474.64435;95.481445;11936.238;253.13387;119.529205;509.7168;78.565796;11646.175;117.931946;57.945137;243.10614;33.6044;5394.3887;83.37771;58.369717;221.31396;7.557678;3896.1345;99.43023;59.04923;243.98279;28.905228;4690.963;113.47265;66.37698;260.91373;28.788574;5224.654;298.13937;121.35112;618.8911;137.47754;14178.178;228.00853;107.27853;470.9148;49.496307;10339.284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5007695.0;152.92572;79.999275;351.66602;52.487457;8271.598;236.86829;118.01742;483.9961;51.445763;12355.595;122.162315;68.9991;265.88623;17.005127;6315.942;220.80951;136.80045;503.96875;36.353943;11665.075;192.89906;105.07932;448.73486;43.54448;10280.402;352.87747;130.25945;627.6604;135.58456;18351.43;129.4622;73.84019;305.22165;28.857788;6754.292;199.39587;98.6397;422.76367;68.064514;10653.859;295.71457;110.04429;535.67236;99.40695;15329.316;239.44406;128.37906;510.28467;49.505707;12653.049;240.69795;118.229774;479.56006;50.121216;12408.462;251.76591;106.1631;476.9795;82.33159;13193.632;247.63898;131.39354;502.0254;49.319946;12979.3125;118.80498;80.44414;290.16187;22.87793;6369.8594;219.05544;103.62169;421.5039;55.54538;11417.982;146.18193;51.35826;253.29785;58.546387;7581.3833;237.40842;73.21142;408.29248;108.43683;12360.955;179.98341;65.11016;316.76184;64.41113;9313.141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5102637.0;217.12796;103.425606;475.3369;45.570435;24164.574;251.415;121.42464;567.6902;61.22992;28386.578;121.351326;74.10137;331.89856;23.235153;14065.294;175.523;92.00759;401.7329;28.457336;19502.012;148.45117;74.97005;334.63574;27.137405;16284.787;289.99677;104.921394;559.15625;103.840485;32325.932;232.64143;107.1888;500.9123;35.23224;25287.008;284.34387;139.91344;657.4258;52.340637;32164.52;378.87143;139.1052;717.21094;108.06659;41604.258;199.38315;127.48391;553.5713;25.797913;22438.637;236.65564;109.59952;532.7031;64.71588;26689.268;393.04395;117.69551;651.1133;138.10669;42701.47;281.21054;138.33786;650.90234;69.290634;31667.148;207.46992;96.44644;471.4541;53.999176;23274.059;260.5571;105.19565;517.3535;55.475327;28814.484;163.47366;91.02342;376.91992;39.41086;18485.967;182.12111;104.04585;381.50317;29.765259;20128.23;237.49655;98.42914;456.3047;77.15964;26110.473;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
