Código Município;u2_min2014/11/01;u2_mean2014/11/01;u2_sd2014/11/01;u2_max2014/11/01;u2_min2014/12/01;u2_mean2014/12/01;u2_sd2014/12/01;u2_max2014/12/01;u2_min2015/01/01;u2_mean2015/01/01;u2_sd2015/01/01;u2_max2015/01/01;u2_min2015/11/01;u2_mean2015/11/01;u2_sd2015/11/01;u2_max2015/11/01;u2_min2015/12/01;u2_mean2015/12/01;u2_sd2015/12/01;u2_max2015/12/01;u2_min2016/01/01;u2_mean2016/01/01;u2_sd2016/01/01;u2_max2016/01/01;u2_min2016/11/01;u2_mean2016/11/01;u2_sd2016/11/01;u2_max2016/11/01;u2_min2016/12/01;u2_mean2016/12/01;u2_sd2016/12/01;u2_max2016/12/01;u2_min2017/01/01;u2_mean2017/01/01;u2_sd2017/01/01;u2_max2017/01/01;u2_min2017/11/01;u2_mean2017/11/01;u2_sd2017/11/01;u2_max2017/11/01;u2_min2017/12/01;u2_mean2017/12/01;u2_sd2017/12/01;u2_max2017/12/01;u2_min2018/01/01;u2_mean2018/01/01;u2_sd2018/01/01;u2_max2018/01/01;u2_min2018/11/01;u2_mean2018/11/01;u2_sd2018/11/01;u2_max2018/11/01;u2_min2018/12/01;u2_mean2018/12/01;u2_sd2018/12/01;u2_max2018/12/01;u2_min2019/01/01;u2_mean2019/01/01;u2_sd2019/01/01;u2_max2019/01/01;u2_min2019/11/01;u2_mean2019/11/01;u2_sd2019/11/01;u2_max2019/11/01;u2_min2019/12/01;u2_mean2019/12/01;u2_sd2019/12/01;u2_max2019/12/01;u2_min2020/01/01;u2_mean2020/01/01;u2_sd2020/01/01;u2_max2020/01/01;u2_min2020/11/01;u2_mean2020/11/01;u2_sd2020/11/01;u2_max2020/11/01;u2_min2020/12/01;u2_mean2020/12/01;u2_sd2020/12/01;u2_max2020/12/01;u2_min2021/01/01;u2_mean2021/01/01;u2_sd2021/01/01;u2_max2021/01/01;
3170206.0;30.533203;39.22469;3.8411856;45.188477;33.996094;43.159794;3.9721997;49.106934;29.041504;37.72375;3.6923902;42.589355;33.561035;41.00858;3.3942053;46.15039;33.97754;40.973263;3.366884;46.359375;34.916504;42.11513;3.428825;48.38965;34.67041;42.057606;3.604901;47.649414;38.384766;45.49849;3.1651452;50.46631;30.405273;36.800926;2.8194425;42.097168;37.581055;45.42805;3.4420042;50.64258;32.728027;40.84062;3.7625575;46.104492;29.317383;36.475357;3.2299151;41.72461;37.433105;47.555237;4.573579;54.323242;33.382812;40.57793;3.4727519;46.183594;33.09131;40.78564;3.6282277;46.208008;32.446777;41.020817;3.9363914;46.84961;30.338135;38.333416;3.5865903;43.688965;29.438965;35.081223;2.8989697;40.12207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5000609.0;32.7583;39.051334;3.2483358;45.78955;38.598877;45.112873;3.6983175;52.93506;30.304688;36.185394;3.2799025;43.013184;41.145264;44.94;2.485939;50.751953;41.594727;48.358513;4.1203976;56.26367;35.243652;41.778744;4.294591;50.314453;43.073242;47.453327;2.2938592;53.063477;40.042236;45.197014;3.1124983;52.288086;32.33545;36.211052;2.8524442;42.726562;25.31372;34.685997;4.1306353;41.56543;18.394653;29.07527;4.193255;35.5166;20.29834;30.808172;4.0783424;37.143066;54.774414;63.049587;4.314782;70.46484;41.253418;49.44092;4.0777965;56.064453;44.126953;52.417736;4.0995674;59.14453;50.78955;57.61287;2.8939269;62.108887;36.601074;45.43962;4.2347193;51.246094;34.815918;42.425728;3.5614843;47.206055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002209.0;29.161621;32.265015;1.5712684;35.875977;33.290527;36.365906;1.4998413;39.654785;30.187988;32.236195;1.0589602;34.933594;30.028809;32.92551;1.7111611;36.72754;32.871338;37.088455;2.3600192;42.04834;28.317627;31.85859;1.8030548;35.978516;24.81543;30.401388;2.7954125;36.55664;34.36133;38.72475;2.41689;43.953613;26.384521;31.267645;2.7689044;37.22119;32.547363;36.083183;1.8688579;40.88037;29.561523;33.083324;1.9350697;37.501953;33.651855;37.92093;1.9058816;41.555176;48.186523;52.436028;2.8897738;57.645508;48.222656;52.779133;1.767936;56.05664;50.55078;53.982677;1.6037375;56.810547;47.603516;51.371475;1.6331912;54.390625;39.88379;44.981274;2.8481946;49.8125;40.10791;44.468628;2.2808075;48.87256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5006606.0;38.989746;45.59527;2.9617524;50.436035;43.70166;52.37625;3.8519328;59.030273;35.94922;42.1666;2.6636333;46.861816;41.177246;48.029102;3.3478396;54.11035;44.039062;51.279472;3.6032891;58.200195;40.60205;47.501793;3.3731325;53.183105;40.496094;47.536713;3.3504002;52.768066;43.645996;49.394257;2.9544318;55.333008;35.784668;40.670746;2.5402372;46.28174;30.806152;36.757378;2.8310473;42.365723;25.43335;31.97599;2.9954648;37.67383;27.698242;34.355267;3.0353327;40.114258;49.748047;64.21867;6.834346;73.65332;43.88037;53.007595;3.8976915;59.382812;45.509766;53.78557;3.6090302;60.226562;43.799072;52.79706;4.307897;59.643066;29.063965;35.016575;2.9804747;40.936035;28.773926;34.64111;3.1632743;44.76416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002704.0;41.686523;48.66765;3.3502462;56.07129;44.831055;50.945877;3.7102742;59.5791;39.82666;45.016064;2.797874;52.109375;39.097656;45.478424;3.4310248;53.000977;41.66211;48.690487;3.334951;56.140625;42.97168;49.233944;2.9526286;56.88379;44.231934;50.9807;3.4823375;59.760742;44.692383;51.473404;3.204836;58.785156;36.166016;41.87734;2.803486;49.51953;41.648926;47.95678;3.2685657;56.253906;36.089355;41.86918;3.0602195;50.385742;40.299316;46.041252;3.299379;54.591797;49.458984;58.721195;5.5736737;69.95801;42.115723;49.202656;3.380651;55.841797;42.47705;48.13188;2.6471384;53.654297;44.992188;51.27675;3.6131856;59.251953;40.254883;46.43081;2.4818966;51.317383;39.89209;45.855965;3.0953093;52.308594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002951.0;24.154297;36.281845;5.7448134;46.72998;29.118652;39.107853;5.0533543;48.253418;23.674072;31.84611;4.4080687;40.086914;37.416992;52.68902;6.015017;62.63867;38.891113;52.69562;5.771668;62.410156;42.304688;56.903797;6.611651;66.99902;40.87256;51.773067;4.6241493;58.180664;44.44922;56.29554;4.5565934;61.807617;37.192383;47.401497;4.5124516;53.44336;39.743164;53.118515;5.285275;61.240234;38.42285;51.023666;4.79393;57.801758;38.765137;48.350525;4.3067465;55.09082;37.604492;52.4964;5.902709;60.919434;29.219238;46.33924;5.926124;54.739258;31.605469;45.553627;4.7828903;52.237305;39.726562;49.01898;4.3335896;56.720703;37.621582;50.62048;5.487459;58.850586;37.029297;49.535057;5.2668433;56.960938;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005400.0;34.63916;41.46318;3.2618248;47.333496;36.882324;44.996574;4.260321;52.901367;32.04541;37.605316;2.7986202;43.20117;31.207031;39.079697;4.334242;47.203613;34.3833;41.843502;3.8919935;49.41504;32.176758;41.902473;4.49881;50.529297;31.374023;41.348194;4.418118;49.148926;37.553223;43.7661;3.400067;50.625977;28.899902;34.72375;3.0106342;40.68213;30.41504;36.320667;3.58838;44.05713;26.429443;32.025715;3.0421062;38.40381;29.86621;34.93426;2.955197;41.239258;44.58789;51.72748;5.3775506;65.32617;40.6958;46.236122;3.8017628;54.825195;41.013184;46.212204;3.9282436;54.748047;41.632324;47.052654;3.5957386;55.445312;31.404297;39.784637;4.0908623;46.052734;32.22998;40.91599;4.0577593;47.555664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005707.0;35.454834;40.860683;3.238129;49.691895;41.277344;46.97782;3.1562457;55.3584;32.89258;38.169178;2.7898517;44.678223;44.61963;52.304066;3.9653592;59.822266;41.131348;45.8788;2.8194263;51.274414;36.44043;42.238964;3.3865774;48.68994;47.214355;54.09879;3.550422;60.216797;40.071045;47.763615;3.432639;53.984863;34.648438;41.19705;3.1238198;46.61963;22.832642;29.451601;4.368538;40.581055;16.890503;25.002455;3.7191973;33.801514;18.111328;26.222832;3.6843824;33.77832;37.39868;49.486637;8.910376;67.430664;30.0708;40.02929;7.0369825;54.137695;45.220703;50.79865;3.1258838;56.265625;53.02539;61.050095;3.509348;66.76221;42.39258;51.936165;3.7965655;58.158203;42.04883;50.408833;3.2839806;55.62256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5007695.0;34.537598;44.250877;4.035905;51.405273;36.49463;45.34849;3.6312058;51.899902;34.21826;42.859245;3.6029212;48.34082;41.442383;50.693256;3.971098;57.25;43.730957;53.574684;3.9078226;59.7666;40.67041;52.355743;5.211398;61.02881;40.57666;50.973503;4.1556168;57.35742;39.51953;50.527065;4.054978;57.838867;33.293945;43.397457;4.009531;49.865234;41.873535;50.83729;4.1886516;57.913086;37.711426;45.570393;4.044146;52.634766;40.470703;48.47084;3.7825565;54.878906;56.45703;62.98804;3.4922447;69.33301;49.27832;53.768337;2.6689863;58.427734;48.276367;52.38361;2.404776;56.499023;49.484375;56.00431;3.153456;60.34375;40.583496;44.830635;2.3660998;49.831055;40.089355;44.886776;2.5662677;50.493164;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5102637.0;27.718018;34.807602;2.8401344;39.69873;24.741455;30.751202;2.8199162;36.13672;24.469238;30.897163;2.9211795;35.83789;29.104004;34.85022;2.7372935;40.676758;26.033203;31.886162;2.397702;36.48633;30.274414;35.964664;2.793374;41.657227;30.035156;34.961662;2.0188007;38.14795;32.256348;37.38813;2.2174664;41.33545;24.930664;28.832674;1.8152851;32.520508;27.890625;32.63819;1.606065;35.439453;30.437012;33.98676;1.4360863;37.21045;26.499512;29.694275;1.2862945;32.214355;23.047852;31.173765;3.0951989;36.90332;28.332031;35.919144;2.7677639;40.78125;28.619629;32.814117;2.3189664;37.922363;24.586426;32.896957;2.667365;37.61914;23.901123;30.25663;2.1665468;34.401855;28.768555;35.190254;2.6176195;40.14258;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
