Código Município;RH_mean2014/11/01;RH_sd2014/11/01;RH_max2014/11/01;RH_min2014/11/01;RH_mean2014/12/01;RH_sd2014/12/01;RH_max2014/12/01;RH_min2014/12/01;RH_mean2015/01/01;RH_sd2015/01/01;RH_max2015/01/01;RH_min2015/01/01;RH_mean2015/11/01;RH_sd2015/11/01;RH_max2015/11/01;RH_min2015/11/01;RH_mean2015/12/01;RH_sd2015/12/01;RH_max2015/12/01;RH_min2015/12/01;RH_mean2016/01/01;RH_sd2016/01/01;RH_max2016/01/01;RH_min2016/01/01;RH_mean2016/11/01;RH_sd2016/11/01;RH_max2016/11/01;RH_min2016/11/01;RH_mean2016/12/01;RH_sd2016/12/01;RH_max2016/12/01;RH_min2016/12/01;RH_mean2017/01/01;RH_sd2017/01/01;RH_max2017/01/01;RH_min2017/01/01;RH_mean2017/11/01;RH_sd2017/11/01;RH_max2017/11/01;RH_min2017/11/01;RH_mean2017/12/01;RH_sd2017/12/01;RH_max2017/12/01;RH_min2017/12/01;RH_mean2018/01/01;RH_sd2018/01/01;RH_max2018/01/01;RH_min2018/01/01;RH_mean2018/11/01;RH_sd2018/11/01;RH_max2018/11/01;RH_min2018/11/01;RH_mean2018/12/01;RH_sd2018/12/01;RH_max2018/12/01;RH_min2018/12/01;RH_mean2019/01/01;RH_sd2019/01/01;RH_max2019/01/01;RH_min2019/01/01;RH_mean2019/11/01;RH_sd2019/11/01;RH_max2019/11/01;RH_min2019/11/01;RH_mean2019/12/01;RH_sd2019/12/01;RH_max2019/12/01;RH_min2019/12/01;RH_mean2020/01/01;RH_sd2020/01/01;RH_max2020/01/01;RH_min2020/01/01;RH_mean2020/11/01;RH_sd2020/11/01;RH_max2020/11/01;RH_min2020/11/01;RH_mean2020/12/01;RH_sd2020/12/01;RH_max2020/12/01;RH_min2020/12/01;RH_mean2021/01/01;RH_sd2021/01/01;RH_max2021/01/01;RH_min2021/01/01;
3170206.0;2162.7942;52.495377;2257.8125;2069.2812;2334.6604;48.982597;2430.75;2258.5312;1874.2925;67.50912;2013.0938;1777.5312;2116.3782;48.444004;2204.4688;2029.5;2259.2244;52.238716;2352.8438;2167.75;2530.4236;45.68225;2615.1875;2448.0625;2210.3188;47.516167;2303.3125;2127.3125;2247.727;50.894768;2342.3125;2158.2812;2332.8718;48.26601;2421.75;2243.0;2179.97;45.71865;2264.7812;2102.75;2345.119;56.820877;2436.0625;2244.7188;2276.5269;51.76765;2358.0;2184.0938;2320.0266;36.985477;2388.0938;2245.5312;2169.779;56.259476;2272.0625;2065.4375;2023.5162;52.129925;2116.625;1921.2188;2086.8237;58.119774;2192.6562;1978.5;2312.6199;46.86027;2389.375;2223.0312;2427.916;48.440456;2502.5625;2334.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5000609.0;2235.1804;37.291233;2296.75;2173.1875;2408.2502;37.356358;2470.875;2341.8125;2311.291;37.568844;2373.9688;2237.75;2428.2654;33.077824;2479.5625;2373.4375;2530.5793;20.136591;2568.9375;2494.1875;2356.7683;22.906439;2393.5938;2307.7188;1912.081;26.42835;1961.9688;1848.4062;2416.7295;23.476807;2452.0;2366.125;2360.3306;23.662195;2401.125;2308.8438;2151.5535;22.155256;2182.0312;2102.9375;2420.4119;28.850788;2463.5625;2358.2812;2544.9956;21.592379;2577.0;2493.9062;2259.392;29.200998;2311.4375;2210.1562;2147.2275;35.48871;2208.9688;2078.0312;2289.3203;30.971052;2339.1562;2232.6875;1950.7745;33.78791;2010.2188;1881.0;2373.108;27.61358;2417.0312;2305.9688;2416.7173;28.691807;2467.8125;2359.4062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002209.0;2210.5076;28.592745;2266.4375;2166.5312;2393.2375;42.02945;2437.625;2315.8125;2251.7344;37.89654;2299.6875;2173.875;2215.4692;24.487604;2250.6875;2160.625;2351.8203;29.248901;2392.7188;2299.5;2454.217;15.80356;2502.375;2423.8438;1922.6305;32.926517;1999.1562;1871.375;2310.441;31.636425;2355.7188;2255.25;2248.245;60.425922;2321.0312;2152.4688;2172.7673;27.32487;2226.5625;2129.0;2410.641;25.542446;2471.4375;2371.125;2434.8342;32.55588;2508.5625;2394.625;2273.3748;33.756638;2399.9375;2229.875;2120.9841;34.043304;2238.6875;2066.875;2211.667;50.219303;2299.375;2125.25;1990.4581;20.489588;2025.6875;1948.4062;2376.4102;23.171797;2415.0;2331.0312;2340.797;18.406883;2369.375;2293.9688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5006606.0;2252.917;24.03248;2290.375;2213.3125;2464.9248;26.357416;2503.1875;2418.25;2345.5974;32.0029;2390.0625;2294.1562;2363.6812;40.98153;2425.8125;2305.5938;2495.6438;34.43426;2541.5;2441.25;2410.4067;25.869444;2446.25;2356.5938;1908.8862;20.022526;1949.1875;1865.1875;2408.4565;24.786041;2446.625;2364.5;2334.5127;29.4956;2380.5938;2287.875;2152.9922;26.364988;2195.6562;2108.3438;2430.2014;31.15617;2477.375;2363.875;2527.8455;26.808807;2565.375;2462.625;2299.9631;39.88099;2363.1875;2234.2188;2134.6042;39.795807;2215.5938;2071.7812;2288.8743;44.106228;2372.5938;2210.625;1960.0276;54.337643;2055.5312;1874.6562;2366.7952;32.377834;2426.9375;2308.4062;2375.6826;40.616196;2438.5;2305.8125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002704.0;2199.362;38.047993;2276.0;2119.8438;2438.3225;44.830837;2505.1875;2326.4688;2287.5225;49.513695;2355.5625;2169.7188;2263.4448;43.845028;2373.25;2189.5312;2416.579;39.14216;2518.3125;2351.4062;2451.94;41.219074;2517.3438;2376.0938;1972.5347;61.677437;2060.4688;1825.25;2364.0725;42.722977;2436.6875;2270.9375;2369.1753;36.215996;2448.75;2304.375;2151.2058;40.221653;2227.9375;2071.375;2411.666;46.25564;2496.125;2309.0938;2491.324;38.058712;2565.0;2415.8438;2311.9734;44.54425;2379.0;2216.375;2152.5898;42.91097;2252.4688;2071.1875;2310.107;35.229122;2394.625;2247.3125;2006.3827;45.989464;2097.125;1917.5312;2428.9797;53.458324;2526.25;2327.125;2374.8953;37.438858;2453.5;2304.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002951.0;2271.3528;40.502365;2332.5625;2194.6562;2469.62;42.511852;2543.375;2373.75;2168.5933;55.266113;2275.4688;2050.9062;2268.8757;35.179077;2328.1875;2196.0;2390.0452;38.3514;2450.125;2317.375;2515.8354;46.682663;2601.0;2424.7188;2182.9387;61.911076;2254.4688;2052.3125;2409.73;51.898125;2481.0;2299.75;2500.9636;36.38513;2556.75;2439.875;2199.0176;29.247673;2250.0;2143.5938;2457.1084;39.483177;2513.5312;2371.2812;2437.0159;37.98036;2489.0938;2367.875;2411.5154;33.471687;2475.0625;2332.3438;2224.201;49.163162;2305.7812;2111.7188;2288.988;47.293167;2362.2188;2160.7812;2152.9766;47.85169;2229.4062;2067.9688;2371.6055;34.525105;2451.125;2316.25;2372.194;38.21805;2445.1875;2306.6562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005400.0;2217.2766;37.071846;2291.8125;2161.4688;2443.8782;35.46454;2515.25;2382.375;2320.7607;44.464848;2402.8125;2240.9062;2295.869;57.70796;2399.75;2195.8438;2449.2764;54.403854;2541.4375;2354.1562;2437.4753;32.860733;2502.0312;2376.25;1904.1428;50.01845;1999.0625;1833.5312;2374.898;41.402435;2435.8125;2297.9688;2319.346;35.32527;2387.375;2251.25;2154.885;27.792282;2210.9688;2105.4375;2426.0535;29.8825;2483.6875;2362.0312;2504.6035;31.61057;2559.5625;2439.5625;2286.4958;40.19511;2361.9375;2215.2812;2142.6997;46.1102;2232.1875;2060.0;2297.8865;48.680943;2386.5312;2215.5;1984.8386;45.127926;2062.5938;1894.9062;2387.713;43.36938;2460.375;2298.9375;2365.6787;38.01531;2439.75;2290.5625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005707.0;2170.8782;27.32953;2228.4062;2130.25;2324.1296;30.418108;2392.5938;2281.5625;2235.7603;24.402811;2297.7812;2194.5312;2421.363;19.534609;2472.5625;2391.125;2521.7188;24.734818;2573.9375;2487.5;2342.5122;26.066145;2383.0312;2285.0625;1842.1654;39.283913;1925.3438;1790.8125;2344.052;32.699047;2404.625;2303.1875;2335.7048;26.396992;2400.5625;2295.0625;2114.0737;27.52175;2164.6875;2061.3438;2356.9062;29.188585;2427.2812;2313.125;2490.82;21.733011;2557.9375;2464.3125;2185.1277;37.82946;2270.9375;2125.6875;2060.3452;44.267963;2168.0625;1994.625;2237.2388;31.340988;2316.0;2187.5;1901.1719;30.78285;1967.5625;1844.3125;2297.2578;32.035767;2386.2188;2244.8438;2318.9512;40.445915;2428.25;2263.2188;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5007695.0;2244.6292;34.717335;2324.5625;2178.0625;2487.5625;41.513897;2572.4375;2391.1875;2260.9333;37.481716;2336.0625;2178.3125;2245.9314;35.89861;2320.75;2196.0938;2365.6528;32.979847;2432.1875;2317.75;2516.4717;42.22111;2590.8125;2453.4062;2173.0789;61.748947;2245.1562;2053.1562;2444.7607;40.76506;2508.6875;2373.125;2462.2542;49.035706;2534.5;2376.625;2202.4868;40.690517;2277.7812;2145.9062;2478.8267;42.22587;2569.0625;2416.8438;2491.9124;35.108013;2550.0625;2434.4688;2400.503;39.32645;2486.8125;2344.9375;2202.1372;49.78639;2333.9375;2131.0625;2331.3828;32.4614;2411.0625;2267.5;2107.356;54.060074;2218.0;2017.7812;2443.1077;27.245478;2489.375;2396.5625;2407.0151;28.965097;2459.5;2356.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5102637.0;2376.97;33.519844;2463.1875;2303.125;2636.4775;33.82058;2693.6875;2548.625;2514.1028;27.344992;2563.875;2440.9375;2306.3027;35.537228;2381.875;2233.0312;2466.9717;26.860212;2510.375;2387.875;2673.87;42.804714;2719.6875;2550.5625;2419.22;29.931023;2483.8125;2343.0;2645.6143;26.235613;2687.8125;2587.5;2607.3748;27.764383;2660.625;2550.875;2426.759;33.545662;2493.25;2338.375;2626.1653;27.152834;2675.3125;2556.6875;2609.4773;23.176853;2653.75;2549.875;2553.8418;24.955101;2594.625;2485.8125;2582.1064;36.55002;2644.75;2487.875;2583.6538;23.894728;2623.8125;2524.875;2414.452;32.57235;2471.1875;2313.5;2576.4253;32.09703;2636.625;2500.0;2537.245;40.62859;2605.875;2454.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
