Código Município;Tmin_sd2014/11/01;Tmin_min2014/11/01;Tmin_max2014/11/01;Tmin_mean2014/11/01;Tmin_sd2014/12/01;Tmin_min2014/12/01;Tmin_max2014/12/01;Tmin_mean2014/12/01;Tmin_sd2015/01/01;Tmin_min2015/01/01;Tmin_max2015/01/01;Tmin_mean2015/01/01;Tmin_sd2015/11/01;Tmin_min2015/11/01;Tmin_max2015/11/01;Tmin_mean2015/11/01;Tmin_sd2015/12/01;Tmin_min2015/12/01;Tmin_max2015/12/01;Tmin_mean2015/12/01;Tmin_sd2016/01/01;Tmin_min2016/01/01;Tmin_max2016/01/01;Tmin_mean2016/01/01;Tmin_sd2016/11/01;Tmin_min2016/11/01;Tmin_max2016/11/01;Tmin_mean2016/11/01;Tmin_sd2016/12/01;Tmin_min2016/12/01;Tmin_max2016/12/01;Tmin_mean2016/12/01;Tmin_sd2017/01/01;Tmin_min2017/01/01;Tmin_max2017/01/01;Tmin_mean2017/01/01;Tmin_sd2017/11/01;Tmin_min2017/11/01;Tmin_max2017/11/01;Tmin_mean2017/11/01;Tmin_sd2017/12/01;Tmin_min2017/12/01;Tmin_max2017/12/01;Tmin_mean2017/12/01;Tmin_sd2018/01/01;Tmin_min2018/01/01;Tmin_max2018/01/01;Tmin_mean2018/01/01;Tmin_sd2018/11/01;Tmin_min2018/11/01;Tmin_max2018/11/01;Tmin_mean2018/11/01;Tmin_sd2018/12/01;Tmin_min2018/12/01;Tmin_max2018/12/01;Tmin_mean2018/12/01;Tmin_sd2019/01/01;Tmin_min2019/01/01;Tmin_max2019/01/01;Tmin_mean2019/01/01;Tmin_sd2019/11/01;Tmin_min2019/11/01;Tmin_max2019/11/01;Tmin_mean2019/11/01;Tmin_sd2019/12/01;Tmin_min2019/12/01;Tmin_max2019/12/01;Tmin_mean2019/12/01;Tmin_sd2020/01/01;Tmin_min2020/01/01;Tmin_max2020/01/01;Tmin_mean2020/01/01;Tmin_sd2020/11/01;Tmin_min2020/11/01;Tmin_max2020/11/01;Tmin_mean2020/11/01;Tmin_sd2020/12/01;Tmin_min2020/12/01;Tmin_max2020/12/01;Tmin_mean2020/12/01;Tmin_sd2021/01/01;Tmin_min2021/01/01;Tmin_max2021/01/01;Tmin_mean2021/01/01;
3170206.0;18.165674;555.4844;643.6406;601.6769;18.229551;576.8594;667.6094;626.3714;22.738491;593.2969;705.84375;659.64825;19.71906;569.0781;668.15625;621.8397;18.729292;593.1094;689.9219;645.4028;16.506306;612.5625;695.6406;654.1985;18.637125;539.66406;632.3906;588.38135;17.708961;581.7656;669.3125;628.28033;17.483152;589.6875;676.7656;633.9505;18.895279;542.1172;637.03125;591.5875;19.049704;579.59375;674.2344;630.731;19.390478;575.5;672.59375;628.40857;17.72449;552.7422;644.3281;601.17004;20.121656;572.8594;676.125;629.50165;22.249096;580.34375;693.7344;646.1564;18.915474;567.8125;665.25;619.5828;18.607882;583.28125;678.7031;632.25757;19.376883;597.2344;695.8281;648.8436;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5000609.0;15.984095;561.7578;622.8906;590.7091;18.378843;617.1406;686.3906;649.36774;16.976183;629.8906;694.21875;659.78876;16.132496;575.6875;636.65625;604.19257;9.981435;644.7344;685.21875;663.38983;10.422604;660.90625;702.9844;679.8777;19.65764;514.96875;587.9531;549.51465;15.809023;602.2969;662.34375;631.5613;18.165365;611.21094;678.28125;644.1118;18.636137;509.89062;578.40625;544.7272;15.809148;625.97656;685.3281;655.5106;16.121458;623.5078;684.03125;652.70917;14.488445;575.0781;631.2031;601.0303;18.682758;595.59375;670.9922;630.3158;14.97957;659.7656;720.09375;688.8806;16.366102;601.7031;666.9844;632.3758;16.72319;587.625;653.0547;618.01935;16.22125;634.6406;698.5469;666.1456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002209.0;27.01934;549.8281;645.5156;603.1487;28.242424;619.6719;720.0;675.1015;27.166832;625.25;721.1094;679.9201;27.717985;592.22656;689.1406;646.40454;28.225573;624.7656;724.4375;679.62744;29.796299;623.3906;728.9219;680.08813;31.22752;524.34375;633.9844;581.18964;28.895424;603.4297;704.34375;659.54126;27.82323;611.71875;708.9844;666.6974;30.20052;540.9844;648.2969;597.39465;27.789452;626.1094;723.625;681.33325;26.989052;628.5625;724.5625;683.14984;27.881908;573.8594;675.8125;628.469;28.444296;597.3047;700.78125;653.3506;27.029202;637.53125;732.2656;691.46204;27.64039;601.59375;698.125;656.17914;30.681969;610.15625;722.53125;665.98926;30.314621;638.875;746.96875;694.34143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5006606.0;21.803442;541.27344;629.40625;578.174;20.045223;602.625;686.5625;634.45575;19.44016;610.2344;690.875;641.5018;22.393133;561.9297;655.89844;597.72003;18.540234;612.1406;690.15625;642.69684;22.389355;617.1094;705.6719;655.33057;21.618425;511.5625;597.96094;547.7835;19.3311;588.2969;670.9219;619.8615;19.515715;600.71875;682.7656;631.6947;19.829523;531.65625;616.6875;569.537;19.279758;630.96875;710.21875;668.95337;15.992267;623.3281;692.4844;655.1583;18.517408;560.9531;637.4844;589.9117;21.308664;586.91406;673.8906;623.86346;20.030687;631.2031;714.1875;665.71985;21.383663;586.6797;673.09375;622.61066;22.071741;591.33594;686.0469;625.1354;20.950382;633.0469;726.59375;665.66736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002704.0;16.410488;561.25;636.1406;590.2315;17.559956;621.4219;702.5625;655.9028;17.70184;618.1094;700.8906;651.55115;16.910946;601.4531;680.5469;631.49365;16.825245;625.2031;703.0156;658.07764;17.160355;641.15625;720.8906;675.60297;27.254381;557.91406;669.7578;598.2917;16.135805;611.5469;688.8281;642.2501;16.392492;614.5156;691.6406;646.0568;17.790037;553.2031;637.0;585.4238;16.065382;621.84375;698.8906;653.8859;14.868205;624.5469;697.25;654.1925;18.802807;598.4531;684.90625;636.7054;21.885057;614.9219;709.5469;659.8714;19.277237;636.9844;720.5469;680.38715;19.45045;615.875;699.0156;655.81696;19.859179;611.2969;696.1719;652.1305;18.620377;645.40625;725.9531;683.71686;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002951.0;19.616089;564.35156;634.5;597.08813;20.707285;602.8281;676.84375;636.6525;24.209953;596.6094;685.0625;633.5117;19.273054;584.8594;653.8906;617.8657;21.073092;606.0;681.75;639.1675;21.343336;632.0469;708.59375;665.8866;21.294737;550.39844;627.5781;584.0089;21.570013;599.4375;678.5781;635.8011;23.703945;586.90625;671.9531;621.1405;20.925718;562.6094;638.7344;597.90955;23.664907;600.40625;685.9219;635.12573;22.251871;598.9219;680.9531;634.4899;19.508345;587.75;657.4219;618.79895;22.474333;597.0156;680.0781;634.9471;23.883148;597.5;687.4531;638.3306;21.804668;583.75;663.90625;617.16016;21.367306;609.6406;688.375;644.8568;21.894161;624.7031;705.9219;661.2406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005400.0;18.062523;549.59375;621.91406;573.4239;18.077425;615.6719;692.8594;643.8647;17.608532;620.15625;693.8594;642.1265;18.65383;583.53125;664.0625;611.70526;17.357431;621.5;695.5781;646.6847;18.851242;626.4219;703.4531;657.19257;18.636517;525.34375;604.8906;558.46326;17.354412;602.1094;676.6094;628.6852;17.823887;607.46094;682.6875;632.21564;17.221027;541.2969;615.60156;566.52496;16.267466;627.9844;698.4844;655.7135;15.594645;626.2656;694.8906;652.356;17.292265;574.8906;646.75;601.92035;18.743313;596.15625;673.625;625.79474;18.10589;635.6094;707.09375;656.26605;17.757038;604.8125;681.28125;639.23645;18.951828;608.4531;692.2344;639.6528;17.412392;650.875;730.0469;679.1791;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005707.0;16.266516;602.65625;659.59375;626.1575;15.942316;666.0625;720.625;688.9233;16.399887;670.71875;727.6094;694.54614;10.992029;609.5625;649.39844;627.3125;9.732658;662.4375;696.6719;677.8814;9.459338;674.9531;709.3594;690.79266;18.063362;563.64844;626.3281;591.3782;11.228375;639.9531;679.625;657.5269;12.000273;655.8594;697.7344;674.59784;12.010297;556.78906;600.2031;576.2399;11.805402;663.1094;704.7969;682.5938;10.648143;660.7344;698.0;677.9436;10.521194;604.375;643.0625;622.1909;13.407413;641.1875;691.4531;663.2311;13.30887;690.90625;737.1094;712.3396;12.573559;635.78125;682.71875;656.76624;11.913779;625.3672;671.53125;645.55145;10.478682;675.09375;713.65625;693.0911;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5007695.0;22.675198;580.8906;652.25;616.68195;26.784184;607.2031;691.2344;649.91345;24.103695;615.1875;691.28125;653.63306;23.928118;599.1406;673.2969;636.5719;25.450016;619.75;697.59375;658.4488;25.78149;633.6719;712.5156;672.5312;25.098324;558.5781;635.5625;596.2613;25.982725;605.03125;685.3281;644.4335;27.377247;601.78125;687.875;643.0284;24.664284;567.0469;643.3906;604.94666;25.613148;615.75;694.1094;654.3016;25.278963;610.0781;687.7969;648.54443;28.951305;597.0;695.84375;641.0127;29.063347;600.85156;693.375;643.0419;26.077724;615.21875;696.8906;654.5548;25.957886;597.84375;679.15625;636.3886;27.2992;610.5781;696.96875;651.3874;28.292164;626.9219;717.2344;670.5953;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5102637.0;14.087466;606.3281;673.2344;635.62585;14.088663;619.15625;685.4375;646.9997;13.3520155;600.40625;661.9531;624.72406;14.442657;610.53125;680.6406;639.176;14.749416;630.6406;702.7344;660.1248;13.855409;644.15625;711.7031;673.0989;15.847076;589.14844;664.9531;619.9514;13.763067;620.3281;684.96875;646.6872;12.731468;616.3594;675.9375;639.08417;14.101805;609.78125;675.59375;637.3236;13.678135;631.5;694.625;656.0296;13.483127;614.9531;675.6719;638.0842;12.806983;619.1406;680.2344;643.3131;13.565322;620.3125;684.4531;647.33685;13.436958;616.0469;680.3594;641.45074;12.870013;609.1094;670.84375;634.34064;13.2749;623.0469;686.0156;648.33636;12.868363;639.0625;701.2344;665.852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
